"","day_of_week","member_casual","total_rides"
"1","Sunday","casual",369809
"2","Sunday","member",417149
"3","Monday","casual",253513
"4","Monday","member",534475
"5","Tuesday","casual",232321
"6","Tuesday","member",570536
"7","Wednesday","casual",269262
"8","Wednesday","member",610115
"9","Thursday","casual",265033
"10","Thursday","member",570454
"11","Friday","casual",315803
"12","Friday","member",525685
"13","Saturday","casual",445267
"14","Saturday","member",479546
