Member_Casual,Day Of Week,Ride Length
casual,Sunday,1765.863548
member,Sunday,856.6003943
casual,Monday,1448.729962
member,Monday,732.7923413
casual,Tuesday,1291.232251
member,Tuesday,737.1692928
casual,Wednesday,1337.053388
member,Wednesday,747.2554337
casual,Thursday,1314.817346
member,Thursday,735.604278
casual,Friday,1471.948481
member,Friday,745.6211575
casual,Saturday,1692.057489
member,Saturday,844.8183086
